1.34E-01,8.88E-02,8.20E-02,1.82E-01,1.04E-01,3.62E-02,4.95E-03,3.04E-03,3.29E-02,5.26E-05,1.87E-02,2.14E-01,1.01E-03,1.76E-04,5.45E-02,1.71E-04,1.85E-02,4.99E-03,6.30E-05,1.88E-02,1.73E-04,9.11E-03,1.64E-02,1.06E-01,1.95E-02,8.37E-04,6.34E-03,1.80E-03,4.15E-02,4.35E-02,2.83E-05,4.43E-02,1.67E-04
8.88E-02,6.54E-02,4.81E-02,1.03E-01,6.97E-02,2.12E-02,3.30E-03,2.00E-03,2.25E-02,3.50E-05,1.23E-02,1.39E-01,7.33E-04,1.30E-04,3.98E-02,1.28E-04,1.03E-02,3.61E-03,4.62E-05,1.35E-02,1.27E-04,5.44E-03,1.02E-02,6.95E-02,1.25E-02,5.62E-04,4.13E-03,1.22E-03,2.82E-02,2.96E-02,1.66E-05,3.02E-02,1.26E-04
8.20E-02,4.81E-02,1.81E-01,4.14E-01,5.97E-02,8.19E-02,3.57E-03,3.36E-03,2.26E-02,5.50E-05,1.89E-02,2.23E-01,4.98E-04,7.42E-05,2.25E-02,6.81E-05,4.26E-02,2.75E-03,3.82E-05,1.05E-02,8.35E-05,1.25E-02,2.22E-02,1.15E-01,1.97E-02,6.97E-04,6.33E-03,1.44E-03,2.85E-02,2.93E-02,5.03E-05,2.87E-02,5.70E-05
1.82E-01,1.03E-01,4.14E-01,1.01E+00,1.31E-01,2.05E-01,8.26E-03,7.86E-03,5.11E-02,1.27E-04,4.46E-02,5.23E-01,1.04E-03,1.49E-04,4.46E-02,1.37E-04,1.06E-01,5.91E-03,8.21E-05,2.27E-02,1.74E-04,3.05E-02,5.35E-02,2.68E-01,4.61E-02,1.58E-03,1.49E-02,3.38E-03,6.52E-02,6.72E-02,1.17E-04,6.35E-02,1.09E-04
1.04E-01,6.97E-02,5.97E-02,1.31E-01,8.69E-02,2.52E-02,3.94E-03,2.37E-03,2.63E-02,4.06E-05,1.47E-02,1.69E-01,8.27E-04,1.43E-04,4.46E-02,1.40E-04,1.32E-02,3.95E-03,4.98E-05,1.49E-02,1.40E-04,6.91E-03,1.24E-02,8.30E-02,1.54E-02,6.53E-04,4.94E-03,1.41E-03,3.32E-02,3.52E-02,1.98E-05,3.39E-02,1.36E-04
3.62E-02,2.12E-02,8.19E-02,2.05E-01,2.52E-02,6.80E-02,1.92E-03,1.74E-03,1.14E-02,3.03E-05,1.12E-02,1.22E-01,1.51E-04,1.56E-05,5.19E-03,1.34E-05,2.22E-02,1.01E-03,1.56E-05,3.97E-03,2.88E-05,8.27E-03,1.49E-02,6.04E-02,9.82E-03,2.87E-04,3.94E-03,7.18E-04,1.46E-02,1.55E-02,3.04E-05,1.29E-02,8.65E-06
4.95E-03,3.30E-03,3.57E-03,8.26E-03,3.94E-03,1.92E-03,2.89E-04,1.31E-04,1.75E-03,2.62E-06,9.91E-04,9.50E-03,3.65E-05,6.07E-06,1.87E-03,5.98E-06,8.68E-04,1.76E-04,2.33E-06,6.61E-04,6.17E-06,4.99E-04,8.85E-04,4.64E-03,9.63E-04,3.79E-05,3.33E-04,9.55E-05,2.28E-03,2.40E-03,1.25E-06,1.63E-03,5.58E-06
3.04E-03,2.00E-03,3.36E-03,7.86E-03,2.37E-03,1.74E-03,1.31E-04,1.20E-04,8.39E-04,2.04E-06,6.45E-04,7.90E-03,2.30E-05,3.77E-06,1.16E-03,3.57E-06,8.07E-04,1.17E-04,1.55E-06,4.41E-04,3.93E-06,4.09E-04,7.21E-04,4.06E-03,6.69E-04,2.38E-05,2.19E-04,5.30E-05,1.06E-03,1.15E-03,1.16E-06,1.03E-03,3.18E-06
3.29E-02,2.25E-02,2.26E-02,5.11E-02,2.63E-02,1.14E-02,1.75E-03,8.39E-04,1.25E-02,1.71E-05,6.14E-03,5.95E-02,2.41E-04,4.27E-05,1.31E-02,4.15E-05,5.26E-03,1.21E-03,1.57E-05,4.52E-03,4.20E-05,2.91E-03,5.37E-03,2.95E-02,6.05E-03,2.51E-04,2.07E-03,6.44E-04,1.57E-02,1.52E-02,7.43E-06,1.09E-02,4.00E-05
5.26E-05,3.50E-05,5.50E-05,1.27E-04,4.06E-05,3.03E-05,2.62E-06,2.04E-06,1.71E-05,5.88E-08,1.50E-05,1.45E-04,3.52E-07,5.87E-08,1.81E-05,5.44E-08,1.25E-05,1.76E-06,2.42E-08,6.61E-06,6.58E-08,1.00E-05,1.81E-05,7.32E-05,1.46E-05,4.38E-07,5.19E-06,1.14E-06,2.17E-05,2.52E-05,2.48E-08,1.70E-05,4.98E-08
1.87E-02,1.23E-02,1.89E-02,4.46E-02,1.47E-02,1.12E-02,9.91E-04,6.45E-04,6.14E-03,1.50E-05,6.55E-03,4.82E-02,1.20E-04,1.89E-05,6.05E-03,1.61E-05,4.64E-03,6.37E-04,8.89E-06,2.39E-03,2.31E-05,3.24E-03,5.74E-03,2.32E-02,5.74E-03,1.54E-04,2.15E-03,4.19E-04,7.92E-03,9.10E-03,7.37E-06,6.14E-03,1.47E-05
2.14E-01,1.39E-01,2.23E-01,5.23E-01,1.69E-01,1.22E-01,9.50E-03,7.90E-03,5.95E-02,1.45E-04,4.82E-02,5.82E-01,1.54E-03,2.53E-04,8.04E-02,2.41E-04,5.39E-02,7.74E-03,1.03E-04,2.95E-02,2.66E-04,2.98E-02,5.31E-02,2.82E-01,4.85E-02,1.58E-03,1.67E-02,3.71E-03,7.61E-02,8.41E-02,8.20E-05,7.17E-02,2.20E-04
1.01E-03,7.33E-04,4.98E-04,1.04E-03,8.27E-04,1.51E-04,3.65E-05,2.30E-05,2.41E-04,3.52E-07,1.20E-04,1.54E-03,1.25E-05,2.09E-06,5.81E-04,2.08E-06,9.92E-05,5.26E-05,6.39E-07,1.98E-04,1.91E-06,5.06E-05,8.79E-05,7.81E-04,1.29E-04,6.42E-06,3.92E-05,1.37E-05,3.07E-04,3.37E-04,1.25E-07,3.44E-04,1.96E-06
1.76E-04,1.30E-04,7.42E-05,1.49E-04,1.43E-04,1.56E-05,6.07E-06,3.77E-06,4.27E-05,5.87E-08,1.89E-05,2.53E-04,2.09E-06,4.25E-07,1.13E-04,4.10E-07,1.40E-05,9.18E-06,1.07E-07,3.47E-05,3.42E-07,6.02E-06,1.16E-05,1.29E-04,2.21E-05,1.07E-06,6.35E-06,2.31E-06,5.32E-05,5.75E-05,1.14E-08,6.07E-05,4.00E-07
5.45E-02,3.98E-02,2.25E-02,4.46E-02,4.46E-02,5.19E-03,1.87E-03,1.16E-03,1.31E-02,1.81E-05,6.05E-03,8.04E-02,5.81E-04,1.13E-04,3.52E-02,1.11E-04,4.23E-03,2.57E-03,3.07E-05,9.71E-03,9.62E-05,1.79E-03,3.47E-03,4.02E-02,7.13E-03,3.25E-04,2.06E-03,7.09E-04,1.65E-02,1.74E-02,3.77E-06,1.87E-02,1.14E-04
1.71E-04,1.28E-04,6.81E-05,1.37E-04,1.40E-04,1.34E-05,5.98E-06,3.57E-06,4.15E-05,5.44E-08,1.61E-05,2.41E-04,2.08E-06,4.10E-07,1.11E-04,4.83E-07,1.28E-05,8.84E-06,1.04E-07,3.35E-05,3.26E-07,4.10E-06,8.42E-06,1.22E-04,2.00E-05,1.06E-06,5.64E-06,2.21E-06,5.23E-05,5.55E-05,1.19E-08,5.89E-05,4.55E-07
1.85E-02,1.03E-02,4.26E-02,1.06E-01,1.32E-02,2.22E-02,8.68E-04,8.07E-04,5.26E-03,1.25E-05,4.64E-03,5.39E-02,9.92E-05,1.40E-05,4.23E-03,1.28E-05,1.16E-02,5.79E-04,8.24E-06,2.24E-03,1.69E-05,3.12E-03,5.41E-03,2.76E-02,4.75E-03,1.61E-04,1.55E-03,3.50E-04,6.75E-03,7.00E-03,1.25E-05,6.47E-03,9.99E-06
4.99E-03,3.61E-03,2.75E-03,5.91E-03,3.95E-03,1.01E-03,1.76E-04,1.17E-04,1.21E-03,1.76E-06,6.37E-04,7.74E-03,5.26E-05,9.18E-06,2.57E-03,8.84E-06,5.79E-04,2.76E-04,3.26E-06,1.04E-03,8.77E-06,2.58E-04,4.61E-04,3.96E-03,6.73E-04,3.16E-05,2.09E-04,6.80E-05,1.51E-03,1.61E-03,6.34E-07,1.73E-03,8.34E-06
6.30E-05,4.62E-05,3.82E-05,8.21E-05,4.98E-05,1.56E-05,2.33E-06,1.55E-06,1.57E-05,2.42E-08,8.89E-06,1.03E-04,6.39E-07,1.07E-07,3.07E-05,1.04E-07,8.24E-06,3.26E-06,4.64E-08,1.21E-05,1.07E-07,3.54E-06,6.58E-06,5.22E-05,8.82E-06,4.04E-07,2.93E-06,9.57E-07,1.96E-05,2.11E-05,1.13E-08,2.18E-05,9.53E-08
1.88E-02,1.35E-02,1.05E-02,2.27E-02,1.49E-02,3.97E-03,6.61E-04,4.41E-04,4.52E-03,6.61E-06,2.39E-03,2.95E-02,1.98E-04,3.47E-05,9.71E-03,3.35E-05,2.24E-03,1.04E-03,1.21E-05,3.92E-03,3.30E-05,9.74E-04,1.75E-03,1.50E-02,2.55E-03,1.18E-04,7.89E-04,2.52E-04,5.66E-03,6.00E-03,2.40E-06,6.54E-03,3.16E-05
1.73E-04,1.27E-04,8.35E-05,1.74E-04,1.40E-04,2.88E-05,6.17E-06,3.93E-06,4.20E-05,6.58E-08,2.31E-05,2.66E-04,1.91E-06,3.42E-07,9.62E-05,3.26E-07,1.69E-05,8.77E-06,1.07E-07,3.30E-05,3.31E-07,8.93E-06,1.62E-05,1.35E-04,2.38E-05,1.09E-06,7.56E-06,2.43E-06,5.30E-05,5.85E-05,2.32E-08,5.89E-05,3.16E-07
9.11E-03,5.44E-03,1.25E-02,3.05E-02,6.91E-03,8.27E-03,4.99E-04,4.09E-04,2.91E-03,1.00E-05,3.24E-03,2.98E-02,5.06E-05,6.02E-06,1.79E-03,4.10E-06,3.12E-03,2.58E-04,3.54E-06,9.74E-04,8.93E-06,3.41E-03,5.68E-03,1.46E-02,2.82E-03,8.92E-05,1.10E-03,2.11E-04,3.89E-03,4.62E-03,6.15E-06,2.90E-03,2.52E-06
1.64E-02,1.02E-02,2.22E-02,5.35E-02,1.24E-02,1.49E-02,8.85E-04,7.21E-04,5.37E-03,1.81E-05,5.74E-03,5.31E-02,8.79E-05,1.16E-05,3.47E-03,8.42E-06,5.41E-03,4.61E-04,6.58E-06,1.75E-03,1.62E-05,5.68E-03,1.01E-02,2.59E-02,5.00E-03,1.57E-04,1.98E-03,3.80E-04,7.08E-03,8.23E-03,1.11E-05,5.27E-03,5.80E-06
1.06E-01,6.95E-02,1.15E-01,2.68E-01,8.30E-02,6.04E-02,4.64E-03,4.06E-03,2.95E-02,7.32E-05,2.32E-02,2.82E-01,7.81E-04,1.29E-04,4.02E-02,1.22E-04,2.76E-02,3.96E-03,5.22E-05,1.50E-02,1.35E-04,1.46E-02,2.59E-02,1.43E-01,2.40E-02,8.11E-04,7.95E-03,1.84E-03,3.74E-02,4.10E-02,4.05E-05,3.58E-02,1.09E-04
1.95E-02,1.25E-02,1.97E-02,4.61E-02,1.54E-02,9.82E-03,9.63E-04,6.69E-04,6.05E-03,1.46E-05,5.74E-03,4.85E-02,1.29E-04,2.21E-05,7.13E-03,2.00E-05,4.75E-03,6.73E-04,8.82E-06,2.55E-03,2.38E-05,2.82E-03,5.00E-03,2.40E-02,6.24E-03,1.60E-04,1.98E-03,3.96E-04,7.77E-03,8.77E-03,6.21E-06,6.51E-03,1.86E-05
8.37E-04,5.62E-04,6.97E-04,1.58E-03,6.53E-04,2.87E-04,3.79E-05,2.38E-05,2.51E-04,4.38E-07,1.54E-04,1.58E-03,6.42E-06,1.07E-06,3.25E-04,1.06E-06,1.61E-04,3.16E-05,4.04E-07,1.18E-04,1.09E-06,8.92E-05,1.57E-04,8.11E-04,1.60E-04,8.40E-06,4.99E-05,1.61E-05,3.23E-04,3.33E-04,2.39E-07,2.77E-04,9.62E-07
6.34E-03,4.13E-03,6.33E-03,1.49E-02,4.94E-03,3.94E-03,3.33E-04,2.19E-04,2.07E-03,5.19E-06,2.15E-03,1.67E-02,3.92E-05,6.35E-06,2.06E-03,5.64E-06,1.55E-03,2.09E-04,2.93E-06,7.89E-04,7.56E-06,1.10E-03,1.98E-03,7.95E-03,1.98E-03,4.99E-05,7.85E-04,1.39E-04,2.66E-03,3.04E-03,2.46E-06,2.10E-03,5.34E-06
1.80E-03,1.22E-03,1.44E-03,3.38E-03,1.41E-03,7.18E-04,9.55E-05,5.30E-05,6.44E-04,1.14E-06,4.19E-04,3.71E-03,1.37E-05,2.31E-06,7.09E-04,2.21E-06,3.50E-04,6.80E-05,9.57E-07,2.52E-04,2.43E-06,2.11E-04,3.80E-04,1.84E-03,3.96E-04,1.61E-05,1.39E-04,5.05E-05,8.21E-04,8.62E-04,5.70E-07,5.91E-04,2.04E-06
4.15E-02,2.82E-02,2.85E-02,6.52E-02,3.32E-02,1.46E-02,2.28E-03,1.06E-03,1.57E-02,2.17E-05,7.92E-03,7.61E-02,3.07E-04,5.32E-05,1.65E-02,5.23E-05,6.75E-03,1.51E-03,1.96E-05,5.66E-03,5.30E-05,3.89E-03,7.08E-03,3.74E-02,7.77E-03,3.23E-04,2.66E-03,8.21E-04,2.03E-02,1.98E-02,9.66E-06,1.36E-02,5.04E-05
4.35E-02,2.96E-02,2.93E-02,6.72E-02,3.52E-02,1.55E-02,2.40E-03,1.15E-03,1.52E-02,2.52E-05,9.10E-03,8.41E-02,3.37E-04,5.75E-05,1.74E-02,5.55E-05,7.00E-03,1.61E-03,2.11E-05,6.00E-03,5.85E-05,4.62E-03,8.23E-03,4.10E-02,8.77E-03,3.33E-04,3.04E-03,8.62E-04,1.98E-02,2.33E-02,1.10E-05,1.42E-02,5.16E-05
2.83E-05,1.66E-05,5.03E-05,1.17E-04,1.98E-05,3.04E-05,1.25E-06,1.16E-06,7.43E-06,2.48E-08,7.37E-06,8.20E-05,1.25E-07,1.14E-08,3.77E-06,1.19E-08,1.25E-05,6.34E-07,1.13E-08,2.40E-06,2.32E-08,6.15E-06,1.11E-05,4.05E-05,6.21E-06,2.39E-07,2.46E-06,5.70E-07,9.66E-06,1.10E-05,4.35E-08,9.15E-06,4.31E-09
4.43E-02,3.02E-02,2.87E-02,6.35E-02,3.39E-02,1.29E-02,1.63E-03,1.03E-03,1.09E-02,1.70E-05,6.14E-03,7.17E-02,3.44E-04,6.07E-05,1.87E-02,5.89E-05,6.47E-03,1.73E-03,2.18E-05,6.54E-03,5.89E-05,2.90E-03,5.27E-03,3.58E-02,6.51E-03,2.77E-04,2.10E-03,5.91E-04,1.36E-02,1.42E-02,9.15E-06,1.56E-02,5.83E-05
1.67E-04,1.26E-04,5.70E-05,1.09E-04,1.36E-04,8.65E-06,5.58E-06,3.18E-06,4.00E-05,4.98E-08,1.47E-05,2.20E-04,1.96E-06,4.00E-07,1.14E-04,4.55E-07,9.99E-06,8.34E-06,9.53E-08,3.16E-05,3.16E-07,2.52E-06,5.80E-06,1.09E-04,1.86E-05,9.62E-07,5.34E-06,2.04E-06,5.04E-05,5.16E-05,4.31E-09,5.83E-05,4.88E-07
